,time,patients in ED,all patients waiting,priority 1 patients waiting,priority 2 patients waiting,priority 3 patients waiting,resources occupied
0,1000,1,1,0,0,1,1
1,1100,5,5,3,2,0,2
2,1200,4,4,1,3,0,2
3,1300,2,2,0,2,0,2
4,1400,2,2,1,1,0,2
5,1500,9,9,1,6,2,2
6,1600,13,13,1,6,6,2
7,1700,7,7,0,0,7,2
8,1800,4,4,1,1,2,2
9,1900,1,1,1,0,0,1
10,2000,4,4,1,1,2,2
11,2100,0,0,0,0,0,0
12,2200,3,3,0,1,2,2
13,2300,3,3,0,2,1,2
14,2400,2,2,0,1,1,2
15,2500,4,4,0,0,4,2
16,2600,2,2,1,0,1,2
17,2700,2,2,1,1,0,2
18,2800,0,0,0,0,0,0
19,2900,11,11,4,4,3,2
20,3000,9,9,1,4,4,2
21,3100,7,7,3,1,3,2
22,3200,11,11,1,3,7,2
23,3300,7,7,1,1,5,2
24,3400,2,2,1,0,1,2
25,3500,3,3,0,2,1,2
26,3600,8,8,2,0,6,2
27,3700,9,9,0,1,8,2
28,3800,3,3,0,1,2,2
29,3900,3,3,0,2,1,2
30,4000,5,5,2,0,3,2
31,4100,3,3,2,0,1,2
32,4200,3,3,1,0,2,2
33,4300,5,5,2,2,1,2
34,4400,6,6,2,2,2,2
35,4500,3,3,1,0,2,2
36,4600,9,9,0,4,5,2
37,4700,12,12,2,2,8,2
38,4800,11,11,1,1,9,2
39,4900,8,8,1,0,7,2
